City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,62.01,65,97,13.02,overcast clouds
1,Hami,CN,42.8,93.45,79.25,11,0,2.82,clear sky
2,Ushuaia,AR,-54.8,-68.3,37.06,87,100,26.46,light intensity drizzle
3,Qaanaaq,GL,77.484,-69.3632,24.89,83,41,8.66,scattered clouds
4,Sainte-Maxime,FR,43.3,6.6333,69.82,35,24,30.11,few clouds
5,Esperance,AU,-33.8667,121.9,62.91,63,14,15.41,few clouds
6,Gisborne,NZ,-38.6533,178.0042,52.93,79,92,8.23,overcast clouds
7,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,17.27,scattered clouds
8,Albany,US,42.6001,-73.9662,52.66,89,83,3.06,broken clouds
9,Punta Arenas,CL,-53.15,-70.9167,39.31,87,75,13.8,light rain
10,Tonj,SS,7.2737,28.6822,71.26,92,100,1.48,overcast clouds
11,Butaritari,KI,3.0707,172.7902,81.86,70,18,13.06,few clouds
12,Kapaa,US,22.0752,-159.319,80.58,84,0,8.05,clear sky
13,Tabuk,PH,17.4189,121.4443,87.06,65,74,1.86,broken clouds
14,Christchurch,NZ,-43.5333,172.6333,50.41,78,75,9.22,broken clouds
15,Hobart,AU,-42.8794,147.3294,59.25,66,75,11.5,broken clouds
16,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
17,Plover,US,44.4564,-89.544,68.11,81,0,6.91,clear sky
18,Zyryanka,RU,65.75,150.85,45.1,46,69,2.75,broken clouds
19,Borogontsy,RU,62.6683,131.1683,50.34,64,100,9.33,light rain
20,San Quintin,MX,30.4833,-115.95,67.44,84,14,9.1,few clouds
21,Nikolskoye,RU,59.7035,30.7861,49.91,87,93,7.09,overcast clouds
22,Meulaboh,ID,4.1363,96.1285,84.38,65,86,5.7,overcast clouds
23,Oranjestad,AW,12.524,-70.027,83.62,77,97,16.91,overcast clouds
24,Vaini,TO,-21.2,-175.2,75.36,88,100,10.36,overcast clouds
25,Prosotsani,GR,41.1833,23.9667,73.49,52,18,1.57,few clouds
26,Sitka,US,57.0531,-135.33,51.69,76,0,5.75,clear sky
27,Rikitea,PF,-23.1203,-134.9692,72.54,74,0,16.8,clear sky
28,Hilo,US,19.7297,-155.09,78.28,88,20,3.44,few clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,65.55,90,7,1.99,clear sky
30,Carnarvon,AU,-24.8667,113.6333,73.47,47,1,15.46,clear sky
31,Ribeira Grande,PT,38.5167,-28.7,70.2,88,20,4.61,few clouds
32,Nabire,ID,-3.3667,135.4833,73.85,96,100,4.92,overcast clouds
33,Chokurdakh,RU,70.6333,147.9167,38.61,60,95,3.36,overcast clouds
34,Fortuna,US,40.5982,-124.1573,55.92,88,34,2.82,scattered clouds
35,Khatanga,RU,71.9667,102.5,35.2,62,92,17.67,overcast clouds
36,Provideniya,RU,64.3833,-173.3,44.22,95,100,29.75,light rain
37,Belen,TR,36.4891,36.2233,68.14,88,0,5.75,clear sky
38,Hithadhoo,MV,-0.6,73.0833,81.61,72,61,5.32,broken clouds
39,Xuanhua,CN,40.6103,115.0447,82.71,21,21,7.27,few clouds
40,Antalaha,MG,-14.9003,50.2788,74.73,65,17,9.13,few clouds
41,Shadegan,IR,30.6497,48.6647,87.75,13,0,15.61,clear sky
42,Karatau,KZ,43.1667,70.4667,76.23,15,40,5.79,scattered clouds
43,Mahebourg,MU,-20.4081,57.7,76.24,69,75,17.27,broken clouds
44,Jamestown,US,42.097,-79.2353,61.72,77,75,1.01,fog
45,Georgetown,MY,5.4112,100.3354,89.53,66,20,8.05,few clouds
46,Pevek,RU,69.7008,170.3133,34.09,85,100,20.11,overcast clouds
47,Mar Del Plata,AR,-38.0023,-57.5575,57.09,90,0,20.0,clear sky
48,Arkhangelsk,RU,64.5401,40.5433,53.71,100,100,8.95,light intensity shower rain
49,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,65,0,8.05,clear sky
50,Pochutla,MX,15.7432,-96.4661,73.81,92,69,5.32,broken clouds
51,Bontang,ID,0.1333,117.5,82.45,78,100,8.37,overcast clouds
52,Hit,IQ,33.6416,42.8251,91.51,19,0,13.09,clear sky
53,Chuy,UY,-33.6971,-53.4616,53.62,89,6,6.93,clear sky
54,Hermanus,ZA,-34.4187,19.2345,54.81,76,92,4.36,light rain
55,New Norfolk,AU,-42.7826,147.0587,58.91,77,100,1.99,overcast clouds
56,San Patricio,US,28.017,-97.5169,84.88,74,18,8.37,few clouds
57,Castro,BR,-24.7911,-50.0119,47.44,90,81,9.42,broken clouds
58,Atuona,PF,-9.8,-139.0333,76.5,75,9,20.38,light rain
59,Great Falls,US,47.5002,-111.3008,57.42,73,0,9.22,clear sky
60,Saldanha,ZA,-33.0117,17.9442,53.65,84,93,9.6,overcast clouds
61,Kodiak,US,57.79,-152.4072,51.31,87,100,4.61,overcast clouds
62,Yopal,CO,5.3378,-72.3959,69.96,92,92,2.3,overcast clouds
63,Arraial Do Cabo,BR,-22.9661,-42.0278,65.46,76,99,14.16,overcast clouds
64,Bengkulu,ID,-3.8004,102.2655,82.98,73,73,7.05,broken clouds
65,Mataura,NZ,-46.1927,168.8643,46.47,72,65,2.8,broken clouds
66,Yellowknife,CA,62.456,-114.3525,46.92,100,20,6.91,few clouds
67,Port Alfred,ZA,-33.5906,26.891,60.19,88,100,1.99,overcast clouds
68,Bagotville,AU,-28.9833,153.4167,81.86,36,63,11.45,broken clouds
69,Linguere,SN,15.3953,-15.1193,80.82,94,0,2.3,clear sky
70,Pangnirtung,CA,66.1451,-65.7125,40.19,74,100,5.48,overcast clouds
71,Naze,JP,28.3667,129.4833,79.72,90,97,34.18,overcast clouds
72,Avera,US,33.194,-82.5271,63.91,73,0,5.75,clear sky
73,Cassilandia,BR,-19.1133,-51.7342,67.41,58,54,11.45,broken clouds
74,Itoman,JP,26.1247,127.6694,84.22,87,75,29.93,broken clouds
75,Pandan,PH,14.0453,124.1694,87.76,64,99,8.32,overcast clouds
76,Sakakah,SA,29.9697,40.2064,89.17,18,0,11.21,clear sky
77,Upernavik,GL,72.7868,-56.1549,33.73,75,4,13.33,clear sky
78,San Carlos,VE,9.6612,-68.5827,71.78,98,94,2.04,overcast clouds
79,Lagoa,PT,39.05,-27.9833,72.34,82,47,12.62,scattered clouds
80,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,41,16.51,light rain
81,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,10.0,light rain
82,Pershotravneve,UA,51.3929,28.8684,54.66,77,89,7.38,light rain
83,Cape Town,ZA,-33.9258,18.4232,59.11,81,75,8.05,light rain
84,Kavieng,PG,-2.5744,150.7967,84.99,64,58,11.18,broken clouds
85,Buta,CD,2.7858,24.73,71.13,97,100,1.66,overcast clouds
86,Bluff,NZ,-46.6,168.3333,46.8,67,60,5.39,broken clouds
87,Souillac,MU,-20.5167,57.5167,75.58,69,75,17.27,broken clouds
88,Lebu,CL,-37.6167,-73.65,45.09,90,100,15.21,overcast clouds
89,La Ronge,CA,55.1001,-105.2842,55.65,71,75,5.75,broken clouds
90,Haines Junction,CA,60.7522,-137.5108,30.15,86,6,0.0,clear sky
