City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hami,CN,79.25,clear sky,42.8,93.45,Laoyutang Resort
7,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
11,Butaritari,KI,81.86,few clouds,3.0707,172.7902,Isles Sunset Lodge
12,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Tabuk,PH,87.06,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
16,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
22,Meulaboh,ID,84.38,overcast clouds,4.1363,96.1285,Kost Pria
23,Oranjestad,AW,83.62,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
24,Vaini,TO,75.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
28,Hilo,US,78.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Hithadhoo,MV,81.61,broken clouds,-0.6,73.0833,Scoop Guest House
39,Xuanhua,CN,82.71,few clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
41,Shadegan,IR,87.75,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
42,Karatau,KZ,76.23,scattered clouds,43.1667,70.4667,Baza Zika
43,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
51,Bontang,ID,82.45,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
56,San Patricio,US,84.88,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
58,Atuona,PF,76.5,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
64,Bengkulu,ID,82.98,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,Bagotville,AU,81.86,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
69,Linguere,SN,80.82,clear sky,15.3953,-15.1193,AYO Casablanca
71,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
74,Itoman,JP,84.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
75,Pandan,PH,87.76,overcast clouds,14.0453,124.1694,Bonifacio Lodge
76,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
84,Kavieng,PG,84.99,broken clouds,-2.5744,150.7967,Nusa Island Retreat
87,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
91,Tunceli,TR,81.01,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
101,Bandarbeyla,SO,83.97,broken clouds,9.4942,50.8122,JABIR HOTEL
104,Black River,JM,78.15,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
115,Shimoda,JP,82.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
118,Sabaudia,IT,77.79,few clouds,41.3003,13.0282,Oasi di Kufra
120,Mareeba,AU,87.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
121,Hazorasp,UZ,76.84,clear sky,41.3194,61.0742,Kemping wifi hotel
124,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
127,West Bay,KY,82.99,few clouds,19.3667,-81.4167,Calypso Cove
128,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
132,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
135,Yulara,AU,76.42,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
141,Carauari,BR,77.83,overcast clouds,-4.8828,-66.8958,Hotel Fellip
142,Sibolga,ID,82.51,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
144,Sao Filipe,CV,77.76,few clouds,14.8961,-24.4956,Hotel Xaguate
147,Gotsu,JP,83.89,overcast clouds,35.0,132.2167,Yurusato
149,Puerto Escondido,MX,78.44,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
157,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
160,Bilma,NE,89.29,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
163,Shiyan,CN,83.7,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
166,Kawalu,ID,82.24,overcast clouds,-7.3817,108.2082,West Jontor
169,Balikpapan,ID,86.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
171,Beihai,CN,86.77,clear sky,21.4833,109.1,21 Degree Hostel
173,Mahibadhoo,MV,81.64,clear sky,3.7833,72.9667,Omadhoo Inn
174,Boyolangu,ID,84.11,broken clouds,-8.1181,111.8935,Yos ega cv
175,Ballina,AU,82.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
176,Burkburnett,US,79.48,clear sky,34.0979,-98.5706,Best Western Red River Inn
181,Del Rio,US,80.71,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
182,Along,IN,82.17,overcast clouds,28.1667,94.7667,Hotel West
183,Atar,MR,79.68,clear sky,20.5169,-13.0499,Oumou Elghoura
188,Anloga,GH,76.46,overcast clouds,5.7947,0.8973,Pin Drop Hotel
192,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
194,Wajima,JP,86.68,broken clouds,37.4,136.9,Wajiima Onsen Yashio
199,Srivardhan,IN,82.17,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
204,Alta Floresta,BR,76.37,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
207,Diu,IN,84.61,overcast clouds,20.7141,70.9822,Hotel Relax Inn
220,Aswan,EG,88.43,clear sky,24.0934,32.907,Nuba Nile
221,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
227,Gympie,AU,82.42,broken clouds,-26.1898,152.665,Mary River Motor Inn
233,Gushikawa,JP,83.43,broken clouds,26.3544,127.8686,Kirari Guest House
235,Axim,GH,75.13,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
238,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
241,Emerald,AU,80.35,clear sky,-23.5333,148.1667,The Irish Village
252,Vanimo,PG,85.08,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
254,Ambilobe,MG,88.65,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
255,Tagusao,PH,85.33,overcast clouds,9.1924,117.8141,Caycay future beach resort
256,Garowe,SO,87.15,few clouds,8.4054,48.4845,Curubo Hotel
261,Kailua,US,80.15,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
267,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
271,Zharkent,KZ,75.51,few clouds,44.1628,80.0,гостиница Satti
276,Faanui,PF,77.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
277,Alyangula,AU,83.37,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
278,Najran,SA,88.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
280,Bonthe,SL,76.48,few clouds,7.5264,-12.505,Bonthe Holiday Village
282,Wadi Musa,JO,78.58,clear sky,30.3222,35.4793,Petra Palace Hotel
283,Male,MV,81.72,clear sky,4.1748,73.5089,Hotel Octave Maldives
286,Caborca,MX,76.12,clear sky,30.5838,-111.101,Hotel Los Lagos
287,Srandakan,ID,81.57,overcast clouds,-7.9386,110.2506,Puri Brata
289,Marzuq,YE,88.29,overcast clouds,14.4,46.4667,حيد القفلة
291,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
297,Cockburn Town,TC,83.16,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
299,Sola,VU,81.23,clear sky,-13.8833,167.55,Leumerus Bungalows
304,Recodo,PH,86.11,overcast clouds,6.9519,121.9636,Baddiri Place
307,Key West,US,87.8,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
317,Luena,AO,76.24,few clouds,-11.7833,19.9167,Hotel Kandamba
319,Coahuayana,MX,76.15,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
320,Hamirpur,IN,89.33,overcast clouds,25.95,80.15,Rajeev Kumar pal
322,Pimenta Bueno,BR,75.2,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
324,Honiara,SB,80.65,scattered clouds,-9.4333,159.95,Heritage Park Hotel
325,Ormara,PK,80.8,clear sky,25.2088,64.6357,Kenara Colony House for Rent
326,Catia La Mar,VE,81.5,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
327,Katsuura,JP,81.39,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
332,Banda Aceh,ID,86.76,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
333,Seoul,KR,87.19,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
