City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Omsukchan,RU,2022-09-17 01:32:08,62.5333,155.8,33.75,82,100,7.9
1,Ventanas,EC,2022-09-17 01:32:08,-1.45,-79.4667,76.46,70,100,3.91
2,Nnewi,NG,2022-09-17 01:32:09,6.0199,6.9148,70.84,99,100,1.97
3,Albany,US,2022-09-17 01:30:37,42.6001,-73.9662,59.65,80,91,4.14
4,Mangrol,IN,2022-09-17 01:32:09,21.1167,70.1167,79.74,76,90,9.93
5,Sibolga,ID,2022-09-17 01:32:10,1.7427,98.7792,82.54,69,89,1.83
6,Arkadelphia,US,2022-09-17 01:27:16,34.1209,-93.0538,81.57,56,0,4.25
7,Busselton,AU,2022-09-17 01:32:10,-33.65,115.3333,59.7,81,100,10.16
8,Victoria,HK,2022-09-17 01:32:03,22.2855,114.1577,90.97,76,4,4.0
9,Porto Santo,PT,2022-09-17 01:32:11,33.072,-16.3415,73.78,88,40,13.8
10,Ramnagar,IN,2022-09-17 01:32:11,29.4,79.1167,70.99,99,100,2.37
11,Vaini,TO,2022-09-17 01:32:11,-21.2,-175.2,78.96,83,40,8.05
12,Sinnamary,GF,2022-09-17 01:32:12,5.3833,-52.95,79.63,88,24,11.74
13,Mount Gambier,AU,2022-09-17 01:27:23,-37.8333,140.7667,53.51,82,75,20.71
14,Port Alfred,ZA,2022-09-17 01:32:12,-33.5906,26.891,59.18,88,100,4.0
15,Kungurtug,RU,2022-09-17 01:32:13,50.5994,97.5228,41.79,83,100,1.25
16,Punta Arenas,CL,2022-09-17 01:30:30,-53.15,-70.9167,41.11,70,75,19.57
17,Tuatapere,NZ,2022-09-17 01:32:13,-46.1333,167.6833,54.07,48,100,0.72
18,Iwanai,JP,2022-09-17 01:32:14,42.9744,140.5089,76.48,68,100,4.99
19,Salym,RU,2022-09-17 01:32:14,60.0625,71.4789,47.19,74,69,4.94
20,Portland,US,2022-09-17 01:30:00,45.5234,-122.6762,69.53,67,100,11.5
21,Puerto Ayora,EC,2022-09-17 01:32:15,-0.7393,-90.3518,65.55,94,22,1.99
22,Ponta Do Sol,PT,2022-09-17 01:29:04,32.6667,-17.1,75.7,66,22,6.6
23,Huilong,CN,2022-09-17 01:32:15,31.8111,121.655,78.8,76,37,6.24
24,Hermanus,ZA,2022-09-17 01:32:16,-34.4187,19.2345,55.8,83,73,5.53
25,Upernavik,GL,2022-09-17 01:32:16,72.7868,-56.1549,34.41,87,9,15.17
26,Beaverlodge,CA,2022-09-17 01:32:16,55.2166,-119.4361,54.75,92,100,12.48
27,Mahanoro,MG,2022-09-17 01:32:17,-19.9,48.8,65.37,86,26,5.19
28,Nikolskoye,RU,2022-09-17 01:32:17,59.7035,30.7861,46.29,97,79,6.87
29,Kodiak,US,2022-09-17 01:32:17,57.79,-152.4072,53.11,87,100,11.5
30,Santa Rosa Del Sur,CO,2022-09-17 01:32:18,7.9644,-74.0544,68.94,97,100,2.86
31,Puerto Carreno,CO,2022-09-17 01:32:18,6.189,-67.4859,76.01,91,100,7.56
32,Chuy,UY,2022-09-17 01:32:19,-33.6971,-53.4616,56.07,79,0,11.56
33,Kapaa,US,2022-09-17 01:29:14,22.0752,-159.319,84.18,73,100,6.91
34,Nago,JP,2022-09-17 01:32:19,26.5881,127.9761,85.05,92,99,21.7
35,Samfya,ZM,2022-09-17 01:32:19,-11.3649,29.5565,64.11,52,15,8.19
36,Souillac,MU,2022-09-17 01:32:20,-20.5167,57.5167,70.18,78,40,12.66
37,Avarua,CK,2022-09-17 01:31:18,-21.2078,-159.775,78.85,65,20,14.97
38,Hobyo,SO,2022-09-17 01:32:20,5.3505,48.5268,75.63,85,32,23.22
39,Esfahan,IR,2022-09-17 01:28:52,32.6572,51.6776,58.64,25,0,2.13
40,Harper,LR,2022-09-17 01:32:21,4.375,-7.7169,76.53,84,96,10.47
41,Itarema,BR,2022-09-17 01:32:21,-2.9248,-39.9167,77.74,80,29,15.64
42,Iqaluit,CA,2022-09-17 01:32:21,63.7506,-68.5145,38.93,86,75,0.0
43,Cidreira,BR,2022-09-17 01:32:22,-30.1811,-50.2056,60.53,81,0,14.03
44,Santo Antonio Do Ica,BR,2022-09-17 01:32:22,-3.1022,-67.9397,78.84,74,100,0.76
45,Gat,IL,2022-09-17 01:33:07,31.61,34.7642,75.88,100,7,3.83
46,Lipin Bor,RU,2022-09-17 01:33:23,60.2622,37.9763,49.24,92,99,9.28
47,Talnakh,RU,2022-09-17 01:33:23,69.4865,88.3972,27.21,82,75,2.68
48,Simao,CN,2022-09-17 01:29:55,22.7886,100.9748,66.79,98,98,1.79
49,Korla,CN,2022-09-17 01:33:24,41.7597,86.1469,70.81,22,0,5.3
50,Usinsk,RU,2022-09-17 01:33:24,65.9939,57.5281,49.01,77,100,10.09
51,Wyndham,US,2022-09-17 01:33:25,37.6985,-77.6125,68.99,86,0,0.0
52,Rio Gallegos,AR,2022-09-17 01:33:25,-51.6226,-69.2181,39.25,65,75,5.75
53,Goderich,CA,2022-09-17 01:30:38,43.7501,-81.7165,65.91,88,52,3.44
54,Ayios Nikolaos,GR,2022-09-17 01:33:25,38.4167,23.65,77.92,66,0,3.49
55,Saint-Augustin,CA,2022-09-17 01:33:26,51.226,-58.6502,47.37,74,97,22.86
56,Ushuaia,AR,2022-09-17 01:33:27,-54.8,-68.3,42.46,61,75,8.05
57,Shaoyang,CN,2022-09-17 01:33:28,27.2315,111.4525,87.58,37,5,3.0
